Dti,Cscore_b,Curr_rte,Act_upb,Next_stat,UMP,yqtr,QGT_UMP,QDT_UMP,AG_UMP,lagging_UMP,QGT_GDP,QRT_GDP,AG_GDP,GDP_Annual_Rate,Ggr,CLTV,HS,PPI,Permits,Orig_chn,Orig_rt,Orig_trm,Num_bo
13,653,5.375,43964.27,CUR,5.1,2015Q4,-0.01316,-0.06667,-11.70%,-0.333333333,0.00033,1.00033,1.90%,0.13%,0.0003251492,67.213562581,"1,125.33",185.57,"1,204.00",R,5.375,360,1
13,653,5.375,41851.01,DEL,3.7,2018Q4,0.00881,0.03333,-8.06%,-0.166666667,0.00271,1.00271,2.52%,1.09%,0.002705985,54.683487444,"1,176.00",202.63,"1,306.67",R,5.375,360,1
13,653,5.375,41659.08,DEL,3.8,2019Q1,0.01739,0.06667,-4.92%,0.0333333333,0.00762,1.00765,2.65%,3.10%,0.0075939592,54.079572588,"1,204.00",199.70,"1,316.00",R,5.375,360,1
13,653,5.375,41464.56,CUR,3.6,2019Q2,-0.06224,-0.23333,-7.63%,0.0666666667,0.00498,1.00500,2.28%,2.01%,0.0049721215,53.393485965,"1,256.67",201.37,"1,313.67",R,5.375,360,1
39,664,4.5,158848.6,CUR,5,2015Q3,-0.06331,-0.33333,-15.93%,-0.1,0.00330,1.00331,2.44%,1.33%,0.003295669,58.347196547,"1,166.67",191.63,"1,149.00",C,4.5,360,1
39,664,4.5,157270.15,CUR,5,2016Q1,-0.02007,-0.10000,-10.84%,-0.066666667,0.00502,1.00503,1.62%,2.03%,0.0050087034,56.343327793,"1,140.00",182.00,"1,157.33",C,4.5,360,1
39,664,4.5,155650.04,DEL,5,2016Q3,0.00000,0.00000,-3.92%,-0.033333333,0.00541,1.00542,1.56%,2.19%,0.0053936623,54.352271577,"1,157.33",187.07,"1,226.00",C,4.5,360,1
39,664,4.5,154829.14,CUR,4.7,2016Q4,-0.02759,-0.13333,-5.30%,0,0.00501,1.00503,2.03%,2.03%,0.005002011,53.215012668,"1,246.00",187.07,"1,252.67",C,4.5,360,1
39,664,4.5,153159.42,SDQ,4.3,2017Q2,-0.04478,-0.20000,-10.88%,-0.2,0.00533,1.00534,2.16%,2.15%,0.0053155621,51.3223644,"1,172.00",193.13,"1,263.33",C,4.5,360,1
40,658,5.25,170863.7,PPY,9.6,2010Q2,-0.02055,-0.20000,3.58%,-0.1,0.00918,1.00922,2.80%,3.74%,0.0091360461,85.086123277,602.00,184.23,599.67,R,5.25,180,1
34,655,4.5,264781.16,CUR,4.4,2017Q1,-0.04286,-0.20000,-7.43%,-0.133333333,0.00565,1.00567,2.10%,2.29%,0.0056359028,64.367509039,"1,224.67",191.27,"1,281.33",C,4.5,360,2
45,611,6.375,,DEL,7.3,2008Q4,0.13492,0.86667,43.06%,0.6666666667,-0.02188,0.97836,-2.75%,-8.38%,-0.022116676,77.729558725,663.00,178.03,638.67,C,6.375,360,1
45,611,6.375,109534.68,DEL,8.7,2009Q1,0.18555,1.40000,65.33%,0.8666666667,-0.01129,0.98877,-3.29%,-4.42%,-0.011354426,79.981537109,525.67,169.53,538.67,C,6.375,360,1
45,611,6.375,109323.48,DEL,9.5,2009Q2,0.11778,1.03333,74.38%,1.4,-0.00144,0.99856,-3.92%,-0.57%,-0.001441974,80.135105059,534.33,171.33,559.33,C,6.375,360,1
