Dti,Cscore_b,Curr_rte,Act_upb,Next_stat,UMP,yqtr,QGT_UMP,QDT_UMP,AG_UMP,lagging_UMP,QGT_GDP,QRT_GDP,AG_GDP,GDP_Annual_Rate,Ggr,CLTV,HS,PPI,Permits,Orig_chn,Orig_rt,Orig_trm,Num_bo
42,773,5.875,140166.54,CUR,4.2,2017Q3,-0.01538,-0.06667,-12.24%,-0.2,0.00788,1.00791,2.42%,3.20%,0.0078459297,54.52696861,"1,181.33",194.03,"1,277.00",R,5.875,360,2
23,762,6.875,409735.73,CUR,9.8,2010Q1,-0.01012,-0.10000,18.95%,0.3,0.00384,1.00385,1.71%,1.55%,0.0038330486,82.97313935,618.00,182.07,657.67,C,6.875,360,2
23,762,6.875,406977.32,CUR,9.5,2010Q3,-0.01745,-0.16667,-1.73%,-0.2,0.00735,1.00737,3.18%,2.98%,0.0073181624,83.40013452,579.67,184.63,574.00,C,6.875,360,2
23,762,6.875,404525.46,DEL,9,2011Q1,-0.05037,-0.46667,-8.14%,0.0333333333,-0.00241,0.99760,1.93%,-0.96%,-0.002410208,84.998581331,582.33,195.90,567.00,C,6.875,360,2
23,762,6.875,403267.65,CUR,9,2011Q2,0.00368,0.03333,-5.88%,-0.466666667,0.00712,1.00715,1.72%,2.89%,0.0070989775,85.009270832,574.33,203.70,611.67,C,6.875,360,2
23,762,6.875,400686.44,DEL,8.6,2011Q4,-0.04159,-0.36667,-9.12%,-0.066666667,0.01153,1.01159,1.61%,4.72%,0.0114599959,86.160659906,671.67,200.77,691.33,C,6.875,360,2
23,762,6.875,399362.28,CUR,8.3,2012Q1,-0.04340,-0.36667,-8.49%,-0.366666667,0.00780,1.00783,2.65%,3.17%,0.0077690962,86.262116128,707.33,202.17,752.00,C,6.875,360,2
23,762,6.875,396644.88,DEL,8.1,2012Q3,-0.02053,-0.16667,-10.74%,-0.066666667,0.00135,1.00135,2.53%,0.54%,0.0013476634,82.21683895,780.33,202.40,873.00,C,6.875,360,2
23,762,6.875,395250.85,CUR,7.7,2012Q4,-0.02948,-0.23333,-9.65%,-0.166666667,0.00114,1.00114,1.47%,0.46%,0.0011374372,80.615595787,908.00,202.27,915.00,C,6.875,360,2
23,762,6.875,364031.69,DEL,4.9,2016Q3,0.00000,0.00000,-3.92%,-0.033333333,0.00541,1.00542,1.56%,2.19%,0.0053936623,59.025459314,"1,157.33",187.07,"1,226.00",C,6.875,360,2
