curr_stat,yqtr,CUR,PPY,SDQ,DEL
DEL,2012Q3,0.4724880784,0.0362929581,0.0994872129,0.3917317506
PPY,2012Q3,0,1,0,0
SDQ,2012Q3,0,0,1,0
CUR,2012Q4,0.9128037889,0.0827122138,6.1728203E-7,0.0044833801
DEL,2012Q4,0.4900187499,0.0359130908,0.0792679425,0.3948002168
PPY,2012Q4,0,1,0,0
SDQ,2012Q4,0,0,1,0
CUR,2013Q1,0.9305425932,0.0656733655,5.530977E-6,0.0037785103
DEL,2013Q1,0.4844587696,0.037699449,0.0774238883,0.4004178931
PPY,2013Q1,0,1,0,0
SDQ,2013Q1,0,0,1,0
CUR,2013Q2,0.9402834418,0.0562824242,1.0234413E-6,0.0034331106
DEL,2013Q2,0.5049879379,0.0355300034,0.0691095517,0.3903725069
PPY,2013Q2,0,1,0,0
SDQ,2013Q2,0,0,1,0
CUR,2013Q3,0.9683675186,0.0293373503,4.5415148E-6,0.0022905896
DEL,2013Q3,0.5195879761,0.0363740227,0.0655132153,0.3785247859
PPY,2013Q3,0,1,0,0
SDQ,2013Q3,0,0,1,0
CUR,2013Q4,0.9680344455,0.0296936639,6.0970363E-6,0.0022657935
DEL,2013Q4,0.4968800009,0.0365925831,0.0604333118,0.4060941043
PPY,2013Q4,0,1,0,0
SDQ,2013Q4,0,0,1,0
CUR,2014Q1,0.9678078659,0.0298566937,4.0569754E-7,0.0023350347
DEL,2014Q1,0.4942402453,0.0367728243,0.0627511773,0.4062357531
PPY,2014Q1,0,1,0,0
SDQ,2014Q1,0,0,1,0
CUR,2014Q2,0.9686233975,0.0291683081,0.0000268614,0.002181433
DEL,2014Q2,0.5124161425,0.036017284,0.055976589,0.3955899846
PPY,2014Q2,0,1,0,0
SDQ,2014Q2,0,0,1,0
CUR,2014Q3,0.9669473564,0.0307540244,0.0000244058,0.0022742134
DEL,2014Q3,0.493623684,0.0386667455,0.0576172754,0.4100922951
PPY,2014Q3,0,1,0,0
SDQ,2014Q3,0,0,1,0
CUR,2014Q4,0.9610085246,0.0364360526,5.1447241E-6,0.0025502781
DEL,2014Q4,0.5189140091,0.0358289078,0.0501708583,0.3950862248
PPY,2014Q4,0,1,0,0
SDQ,2014Q4,0,0,1,0
CUR,2015Q1,0.9550310858,0.0422309742,0.0000100976,0.0027278424
DEL,2015Q1,0.5415852173,0.0399662377,0.0543028966,0.3641456485
PPY,2015Q1,0,1,0,0
SDQ,2015Q1,0,0,1,0
CUR,2015Q2,0.9647942079,0.0323990392,0.000042591,0.0027641619
DEL,2015Q2,0.5420715728,0.0406913357,0.0483632257,0.3688738658
PPY,2015Q2,0,1,0,0
SDQ,2015Q2,0,0,1,0
CUR,2015Q3,0.9636156829,0.0338385362,5.2956916E-6,0.0025404852
DEL,2015Q3,0.5266249874,0.0365221132,0.048027846,0.3888250534
PPY,2015Q3,0,1,0,0
SDQ,2015Q3,0,0,1,0
CUR,2015Q4,0.9635245218,0.0338061417,4.0870483E-6,0.0026652495
DEL,2015Q4,0.5242769135,0.0401635164,0.0518026056,0.3837569645
PPY,2015Q4,0,1,0,0
SDQ,2015Q4,0,0,1,0
CUR,2016Q1,0.9589453638,0.0383760726,9.0598724E-6,0.0026695037
DEL,2016Q1,0.5234786501,0.0411829114,0.0516451666,0.383693272
